No.,Timestamp,Temperature (°C),Humidity (%),Motion,Light (lux),Alerts Triggered,Actions
1,08:39:57,28.11,55.83,NO MOTION,384.14,1,Turn ON Indoor Lights
2,08:39:58,28.87,54.51,NO MOTION,359.55,0,NORMAL
3,08:39:59,28.72,62.4,NO MOTION,349.3,1,Turn ON Dehumidifier
4,08:40:00,28.36,61.16,DETECTED,328.7,1,Activate Security Light & Notify
5,08:40:01,26.36,58.76,NO MOTION,328.79,0,NORMAL
6,08:40:02,26.02,58.34,NO MOTION,318.42,0,NORMAL
7,08:40:03,26.49,56.85,NO MOTION,338.75,1,Turn OFF Dehumidifier
8,08:40:04,25.92,56.04,NO MOTION,353.47,1,Turn ON Heater
9,08:40:05,25.21,56.45,NO MOTION,377.58,0,NORMAL
10,08:40:06,24.71,57.13,NO MOTION,373.53,0,NORMAL
11,08:40:07,25.28,56.77,NO MOTION,392.94,0,NORMAL
12,08:40:08,25.08,57.48,NO MOTION,407.2,1,Turn OFF Indoor Lights
13,08:40:09,24.31,58.4,NO MOTION,411.12,1,Turn ON Dehumidifier
14,08:40:10,24.66,56.42,NO MOTION,427.53,1,Turn OFF Dehumidifier
15,08:40:11,25.3,57.46,NO MOTION,431.46,1,Close Window Blinds
16,08:40:12,26.07,57.11,NO MOTION,431.34,1,Turn OFF Heater
17,08:40:13,25.98,56.85,NO MOTION,426.37,2,Turn ON Heater | Open Window Blinds
18,08:40:14,25.47,56.24,DETECTED,426.49,1,Activate Security Light & Notify
19,08:40:15,25.62,56.58,NO MOTION,408.45,0,NORMAL
20,08:40:16,26.18,57.41,NO MOTION,424.92,1,Turn OFF Heater
